,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Apr-15 to 7-Nov-23,,,,,,,,
Date,Particulars,,,,Vch Type,Vch No.,Debit,Credit
02-Sep-19,To,(as per details),,,Receipt,110,27550.00,
,,Mandal Date Advocate Group 02,,,,,,24000.00 Cr
,,Misc.Income,,,,,,3550.00 Cr
02-Sep-19,By,Ankit Sorathiya,,,Payment,470,,10000.00
02-Sep-19,By,Mandal Date Advocate Group 02,,,Payment,471,,2000.00
02-Sep-19,By,Food,,,Payment,472,,30.00
02-Sep-19,To,Office Expense,,,Receipt,111,1640.00,
02-Sep-19,By,Home Perquisites,,,Payment,475,,80.00
03-Sep-19,By,Home Cash Paid,,,Payment,476,,5920.00
03-Sep-19,By,Food,,,Payment,477,,40.00
03-Sep-19,By,Tour & Picnic,,,Payment,478,,40.00
04-Sep-19,By,Chirag,,,Payment,479,,2500.00
04-Sep-19,By,Office Income,,,Payment,480,,2000.00
04-Sep-19,By,DBS Bank,,,Contra,25,,10000.00
04-Sep-19,By,Food,,,Payment,481,,40.00
06-Sep-19,By,Home Perquisites,,,Payment,485,,140.00
06-Sep-19,By,Alpesh Vithhani,,,Payment,486,,500.00
06-Sep-19,By,Food,,,Payment,487,,40.00
06-Sep-19,By,Party With Friends,,,Payment,488,,40.00
07-Sep-19,By,Party With Friends,,,Payment,491,,10.00
07-Sep-19,By,Misc. Expenses,,,Payment,492,,30.00
09-Sep-19,By,Home Cash Paid,,,Payment,494,,500.00
09-Sep-19,By,Office Income,,,Payment,495,,800.00
09-Sep-19,By,Holiday Expenses,,,Payment,496,,300.00
09-Sep-19,By,Mandal Date CA Group 15,,,Payment,497,,2000.00
10-Sep-19,To,Upad,,,Receipt,116,6500.00,
10-Sep-19,By,Food,,,Payment,498,,50.00
10-Sep-19,By,Boot Polish,,,Payment,499,,20.00
11-Sep-19,By,Office Income,,,Payment,500,,820.00
11-Sep-19,By,Food,,,Payment,501,,20.00
13-Sep-19,By,Ankit Sorathiya,,,Payment,504,,1500.00
14-Sep-19,By,Home Cash Paid,,,Payment,505,,700.00
14-Sep-19,By,Holiday Expenses,,,Payment,506,,100.00
15-Sep-19,By,Party With Friends,,,Payment,507,,100.00
17-Sep-19,To,Nikhil,,,Receipt,122,1500.00,
17-Sep-19,By,Home Cash Paid,,,Payment,511,,500.00
18-Sep-19,By,Office Expense,,,Payment,513,,1000.00
18-Sep-19,By,Party With Friends,,,Payment,514,,170.00
18-Sep-19,By,Home Cash Paid,,,Payment,515,,100.00
19-Sep-19,By,Party With Friends,,,Payment,516,,150.00
20-Sep-19,By,Food,,,Payment,517,,50.00
21-Sep-19,By,Food,,,Payment,518,,60.00
22-Sep-19,By,Home Medicines,,,Payment,520,,200.00
22-Sep-19,By,Home Medicines,,,Payment,521,,650.00
23-Sep-19,By,Food,,,Payment,522,,25.00
23-Sep-19,To,Nikhil Sabhadiya,,,Receipt,123,400.00,
23-Sep-19,By,Misc. Expenses,,,Payment,523,,10.00
23-Sep-19,By,Home Cash Paid,,,Payment,524,,500.00
23-Sep-19,By,Party With Friends,,,Payment,525,,60.00
24-Sep-19,By,Bike Service,,,Payment,526,,30.00
24-Sep-19,To,Office Expense,,,Receipt,126,600.00,
27-Sep-19,By,Home Medicines,,,Payment,529,,250.00
27-Sep-19,By,Misc. Expenses,,,Payment,530,,45.00
28-Sep-19,By,Party With Friends,,,Payment,531,,120.00
28-Sep-19,By,Party With Friends,,,Payment,532,,80.00
28-Sep-19,To,Office Income,,,Receipt,129,15000.00,
28-Sep-19,By,IDBI Bank,,,Contra,26,,12000.00
28-Sep-19,By,Cloths,,,Payment,535,,850.00
28-Sep-19,By,Home Cash Paid,,,Payment,536,,500.00
28-Sep-19,By,Food,,,Payment,537,,40.00
28-Sep-19,By,Food,,,Payment,538,,50.00
28-Sep-19,By,Alpesh Vithhani,,,Payment,539,,1500.00
29-Sep-19,By,Food,,,Payment,540,,50.00
30-Sep-19,By,Food,,,Payment,541,,60.00
30-Sep-19,By,Bike Service,,,Payment,542,,60.00
30-Sep-19,By,Shaileshbhai Paladiya,,,Payment,543,,140.00
30-Sep-19,By,Party With Friends,,,Payment,544,,110.00
30-Sep-19,By,Home Cash Paid,,,Payment,545,,500.00
01-Oct-19,By,Rahil,,,Payment,548,,500.00
01-Oct-19,To,Mouse,,,Receipt,133,800.00,
01-Oct-19,By,Food,,,Payment,549,,50.00
01-Oct-19,By,Misc. Expenses,,,Payment,550,,40.00
02-Oct-19,By,Eye Glass,,,Payment,551,,700.00
02-Oct-19,By,Party With Friends,,,Payment,552,,100.00
03-Oct-19,To,IDBI Bank,,,Contra,27,10000.00,
03-Oct-19,By,Office Income,,,Payment,553,,10000.00
03-Oct-19,To,Upad,,,Receipt,135,3065.00,
03-Oct-19,By,Mandal Date Advocate Group 02,,,Payment,555,,2000.00
04-Oct-19,By,(as per details),,,Payment,559,,505.00
,,Party With Friends,,,,,430.00 Dr,
,,Party With Friends,,,,,75.00 Dr,
04-Oct-19,By,Food,,,Payment,560,,40.00
04-Oct-19,To,Piyush Vaghasiya,,,Receipt,136,12000.00,
06-Oct-19,By,Party With Friends,,,Payment,561,,330.00
06-Oct-19,By,Home Cash Paid,,,Payment,562,,500.00
06-Oct-19,By,Home Cash Paid,,,Payment,563,,100.00
06-Oct-19,By,Donation,,,Payment,564,,120.00
07-Oct-19,By,DBS Bank,,,Contra,28,,9000.00
08-Oct-19,By,Home Medicines,,,Payment,567,,230.00
08-Oct-19,By,Food,,,Payment,568,,40.00
08-Oct-19,By,Party With Friends,,,Payment,569,,60.00
09-Oct-19,To,Ankit Sorathiya,,,Receipt,143,5000.00,
09-Oct-19,By,Home Cash Paid,,,Payment,570,,1000.00
09-Oct-19,By,Food,,,Payment,571,,50.00
10-Oct-19,By,Food,,,Payment,573,,50.00
11-Oct-19,By,Food,,,Payment,574,,30.00
11-Oct-19,By,Home Perquisites,,,Payment,576,,180.00
12-Oct-19,By,Home Cash Paid,,,Payment,577,,1500.00
12-Oct-19,By,Home Cash Paid,,,Payment,578,,1500.00
12-Oct-19,By,Home Cash Paid,,,Payment,579,,1500.00
13-Oct-19,By,Home Cash Paid,,,Payment,580,,1100.00
14-Oct-19,By,Bike Service,,,Payment,582,,250.00
14-Oct-19,By,Tour & Picnic,,,Payment,583,,40.00
14-Oct-19,By,Food,,,Payment,584,,30.00
15-Oct-19,To,Rojmel,,,Receipt,146,6000.00,
15-Oct-19,By,Mandal Date CA Group 15,,,Payment,588,,2000.00
15-Oct-19,By,Nitesh Italiya,,,Payment,589,,4000.00
16-Oct-19,To,Rahil,,,Receipt,150,500.00,
16-Oct-19,By,Home Cash Paid,,,Payment,591,,500.00
16-Oct-19,By,Food,,,Payment,592,,30.00
17-Oct-19,To,Upad,,,Receipt,151,3500.00,
17-Oct-19,By,Food,,,Payment,595,,10.00
17-Oct-19,By,Food,,,Payment,598,,80.00
17-Oct-19,By,Food,,,Payment,599,,50.00
19-Oct-19,By,Food,,,Payment,601,,25.00
19-Oct-19,By,Home Perquisites,,,Payment,603,,100.00
20-Oct-19,By,Home Cash Paid,,,Payment,604,,500.00
20-Oct-19,By,Food,,,Payment,605,,50.00
21-Oct-19,By,Food,,,Payment,606,,20.00
21-Oct-19,By,Misc. Expenses,,,Payment,607,,40.00
23-Oct-19,By,Food,,,Payment,609,,50.00
23-Oct-19,By,Party With Friends,,,Payment,610,,80.00
24-Oct-19,To,Upad,,,Receipt,166,10000.00,
24-Oct-19,By,Home Cash Paid,,,Payment,611,,900.00
24-Oct-19,By,Food,,,Payment,612,,50.00
25-Oct-19,By,Ankit Sorathiya,,,Payment,613,,3000.00
25-Oct-19,By,Home Perquisites,,,Payment,614,,1200.00
25-Oct-19,By,Food,,,Payment,617,,40.00
25-Oct-19,By,Home Perquisites,,,Payment,618,,160.00
25-Oct-19,By,Home Perquisites,,,Payment,619,,110.00
25-Oct-19,By,Party With Friends,,,Payment,620,,100.00
25-Oct-19,By,Misc. Expenses,,,Payment,621,,15.00
26-Oct-19,By,Bike Service,,,Payment,622,,370.00
26-Oct-19,By,Home Perquisites,,,Payment,623,,70.00
27-Oct-19,By,Home Cash Paid,,,Payment,626,,1600.00
27-Oct-19,By,Home Cash Paid,,,Payment,627,,100.00
28-Oct-19,By,Guest Expense,,,Payment,629,,165.00
28-Oct-19,By,Party With Friends,,,Payment,630,,120.00
29-Oct-19,By,Misc. Lons and Advances,,,Payment,632,,110.00
30-Oct-19,By,(as per details),,,Payment,633,,375.00
,,Holiday Expenses,,,,,350.00 Dr,
,,Misc. Expenses,,,,,25.00 Dr,
30-Oct-19,By,Misc. Lons and Advances,,,Payment,634,,880.00
30-Oct-19,By,Home Cash Paid,,,Payment,635,,100.00
01-Nov-19,By,Food,,,Payment,638,,140.00
01-Nov-19,To,Misc. Lons and Advances,,,Receipt,169,770.00,
01-Nov-19,By,Misc. Lons and Advances,,,Payment,639,,414.00
01-Nov-19,By,Home Cash Paid,,,Payment,640,,260.00
02-Nov-19,By,Food,,,Payment,641,,119.00
02-Nov-19,By,Misc. Expenses,,,Payment,642,,17.00
03-Nov-19,By,Home Cash Paid,,,Payment,643,,500.00
03-Nov-19,By,Food,,,Payment,644,,40.00
03-Nov-19,By,Food,,,Payment,645,,20.00
03-Nov-19,By,Holiday Expenses,,,Payment,646,,590.00
03-Nov-19,By,Food,,,Payment,647,,60.00
03-Nov-19,By,Home Cash Paid,,,Payment,648,,400.00
06-Nov-19,By,Food,,,Payment,651,,30.00
07-Nov-19,To,DBS Bank,,,Contra,30,5000.00,
08-Nov-19,To,Office Expense,,,Receipt,184,1091.00,
08-Nov-19,By,Home Cash Paid,,,Payment,658,,4000.00
08-Nov-19,By,Hair Cut,,,Payment,659,,110.00
08-Nov-19,By,Misc. Expenses,,,Payment,660,,31.00
08-Nov-19,By,Food,,,Payment,661,,90.00
10-Nov-19,To,Upad,,,Receipt,185,2000.00,
10-Nov-19,By,Food,,,Payment,662,,60.00
11-Nov-19,By,Food,,,Payment,664,,120.00
11-Nov-19,To,Misc. Lons and Advances,,,Receipt,186,394.00,
12-Nov-19,By,Home Perquisites,,,Payment,665,,70.00
13-Nov-19,By,Mandal Date CA Group 15,,,Payment,666,,2000.00
13-Nov-19,By,Nitesh Italiya,,,Payment,667,,2000.00
14-Nov-19,By,Home Perquisites,,,Payment,669,,90.00
15-Nov-19,By,Misc. Expenses,,,Payment,670,,34.00
15-Nov-19,To,Misc. Lons and Advances,,,Receipt,188,192.00,
15-Nov-19,By,Misc. Expenses,,,Payment,671,,62.00
15-Nov-19,By,Boot Polish,,,Payment,672,,30.00
15-Nov-19,By,Home Cash Paid,,,Payment,673,,500.00
15-Nov-19,By,Food,,,Payment,674,,50.00
15-Nov-19,To,Nitesh Italiya,,,Receipt,189,2000.00,
15-Nov-19,By,Misc. Expenses,,,Payment,675,,30.00
16-Nov-19,By,Home Cash Paid,,,Payment,677,,2000.00
16-Nov-19,By,Food,,,Payment,678,,65.00
17-Nov-19,By,Food,,,Payment,680,,20.00
18-Nov-19,By,Guest Expense,,,Payment,681,,90.00
19-Nov-19,By,Party With Friends,,,Payment,685,,50.00
19-Nov-19,By,Food,,,Payment,686,,10.00
19-Nov-19,By,Food,,,Payment,690,,20.00
21-Nov-19,To,IDBI Bank,,,Contra,31,1000.00,
21-Nov-19,By,Party With Friends,,,Payment,693,,340.00
21-Nov-19,By,Home Cash Paid,,,Payment,694,,500.00
21-Nov-19,By,Food,,,Payment,695,,76.00
21-Nov-19,By,Misc. Expenses,,,Payment,696,,80.68
22-Nov-19,By,Misc. Lons and Advances,,,Payment,698,,293.32
22-Nov-19,By,Home Cash Paid,,,Payment,699,,100.00
22-Nov-19,By,Misc. Expenses,,,Payment,700,,5.00
24-Nov-19,To,IDBI Bank,,,Contra,32,1000.00,
24-Nov-19,By,Home Cash Paid,,,Payment,702,,500.00
24-Nov-19,By,Holiday Expenses,,,Payment,703,,100.00
24-Nov-19,By,Food,,,Payment,704,,40.00
24-Nov-19,By,Party With Friends,,,Payment,705,,160.00
26-Nov-19,By,Food,,,Payment,708,,50.00
27-Nov-19,By,Misc. Expenses,,,Payment,711,,30.00
27-Nov-19,To,Home Perquisites,,,Receipt,198,200.00,
27-Nov-19,To,Rojmel,,,Receipt,199,5500.00,
27-Nov-19,By,Home Cash Paid,,,Payment,713,,500.00
28-Nov-19,By,Home Cash Paid,,,Payment,714,,1500.00
30-Nov-19,By,Mobile Acceseris,,,Payment,715,,200.00
30-Nov-19,By,Divyam School Exp.,,,Payment,717,,350.00
01-Dec-19,By,Home Perquisites,,,Payment,718,,50.00
01-Dec-19,By,Home Perquisites,,,Payment,719,,70.00
02-Dec-19,By,Mandal Date Advocate Group 02,,,Payment,722,,1000.00
02-Dec-19,By,Food,,,Payment,724,,50.00
02-Dec-19,By,Misc. Expenses,,,Payment,725,,30.00
03-Dec-19,By,Misc. Expenses,,,Payment,726,,14.00
03-Dec-19,By,Home Cash Paid,,,Payment,727,,500.00
03-Dec-19,By,Misc. Expenses,,,Payment,728,,50.00
03-Dec-19,By,Tour Traveling Expenses,,,Payment,729,,40.00
03-Dec-19,By,Donation,,,Payment,730,,10.00
04-Dec-19,To,DBS Bank,,,Contra,33,2000.00,
09-Dec-19,To,DBS Bank,,,Contra,34,2000.00,
09-Dec-19,By,DBS Bank,,,Contra,35,,650.00
10-Dec-19,By,Home Perquisites,,,Payment,732,,400.00
11-Dec-19,By,Home Cash Paid,,,Payment,733,,500.00
11-Dec-19,To,IDBI Bank,,,Contra,36,2000.00,
12-Dec-19,By,Party With Friends,,,Payment,735,,40.00
12-Dec-19,By,Tour Traveling Expenses,,,Payment,736,,3385.00
12-Dec-19,By,Home Perquisites,,,Payment,737,,60.00
12-Dec-19,By,Food,,,Payment,738,,20.00
14-Dec-19,By,Home Cash Paid,,,Payment,743,,550.00
14-Dec-19,By,Party With Friends,,,Payment,744,,70.00
14-Dec-19,To,DBS Bank,,,Contra,37,4000.00,
15-Dec-19,By,Food,,,Payment,746,,60.00
15-Dec-19,By,Mandal Date CA Group 15,,,Payment,747,,2000.00
16-Dec-19,By,Misc. Expenses,,,Payment,748,,10.00
16-Dec-19,By,Misc. Expenses,,,Payment,749,,90.00
16-Dec-19,By,Nitesh Italiya,,,Payment,750,,2000.00
16-Dec-19,By,Food,,,Payment,751,,10.00
17-Dec-19,By,Home Cash Paid,,,Payment,752,,700.00
17-Dec-19,By,Boot Polish,,,Payment,753,,20.00
17-Dec-19,By,Party With Friends,,,Payment,754,,80.00
17-Dec-19,By,Food,,,Payment,755,,50.00
18-Dec-19,By,Home Cash Paid,,,Payment,756,,400.00
18-Dec-19,By,Food,,,Payment,759,,20.00
18-Dec-19,To,Nitesh Italiya,,,Receipt,207,2000.00,
18-Dec-19,To,Upad,,,Receipt,208,2700.00,
18-Dec-19,To,Deep,,,Receipt,209,250.00,
19-Dec-19,By,Home Cash Paid,,,Payment,763,,200.00
19-Dec-19,By,Food,,,Payment,764,,70.00
20-Dec-19,By,Food,,,Payment,766,,50.00
21-Dec-19,By,Home Medicines,,,Payment,772,,300.00
21-Dec-19,By,Misc. Expenses,,,Payment,773,,20.00
22-Dec-19,By,Holiday Expenses,,,Payment,775,,240.00
23-Dec-19,To,DBS Bank,,,Contra,38,10000.00,
23-Dec-19,To,DBS Bank,,,Contra,39,10000.00,
23-Dec-19,To,DBS Bank,,,Contra,40,5000.00,
23-Dec-19,By,Ankit Sorathiya,,,Payment,776,,25000.00
23-Dec-19,By,Tour Traveling Expenses,,,Payment,777,,20.00
23-Dec-19,By,Home Cash Paid,,,Payment,778,,1500.00
23-Dec-19,By,Food,,,Payment,779,,50.00
24-Dec-19,By,Food,,,Payment,780,,50.00
24-Dec-19,By,Misc. Expenses,,,Payment,781,,10.00
24-Dec-19,By,Misc. Expenses,,,Payment,782,,20.00
24-Dec-19,By,Food,,,Payment,787,,60.00
24-Dec-19,By,Misc. Expenses,,,Payment,788,,50.00
25-Dec-19,By,Silver Ring,,,Payment,789,,700.00
26-Dec-19,By,DBS Bank,,,Contra,41,,500.00
26-Dec-19,By,Home Cash Paid,,,Payment,791,,50.00
27-Dec-19,By,Merriage Chandlo Shrimant,,,Payment,794,,450.00
27-Dec-19,By,Food,,,Payment,795,,60.00
27-Dec-19,By,Office Income,,,Payment,796,,100.00
27-Dec-19,By,Food,,,Payment,798,,20.00
28-Dec-19,To,Ankit Sorathiya,,,Receipt,215,25000.00,
29-Dec-19,By,IDBI Bank,,,Contra,42,,24000.00
29-Dec-19,By,Home Perquisites,,,Payment,802,,270.00
30-Dec-19,By,Food,,,Payment,803,,50.00
30-Dec-19,By,Food,,,Payment,804,,40.00
31-Dec-19,By,Home Medicines,,,Payment,806,,820.00
31-Dec-19,By,Party With Friends,,,Payment,807,,30.00
31-Dec-19,By,Misc. Expenses,,,Payment,808,,20.00
01-Jan-20,To,Ankit Sorathiya,,,Receipt,218,1000.00,
01-Jan-20,By,Guest Expense,,,Payment,811,,420.00
02-Jan-20,By,Party With Friends,,,Payment,812,,530.00
02-Jan-20,By,Food,,,Payment,813,,20.00
02-Jan-20,By,Guest Expense,,,Payment,814,,20.00
02-Jan-20,By,Home Medicines,,,Payment,815,,70.00
02-Jan-20,To,DBS Bank,,,Contra,43,2000.00,
02-Jan-20,By,Mandal Date Advocate Group 02,,,Payment,817,,1000.00
02-Jan-20,By,Divyam School Exp.,,,Payment,818,,35.00
03-Jan-20,By,Home Cash Paid,,,Payment,819,,500.00
03-Jan-20,By,Office Income,,,Payment,820,,135.00
03-Jan-20,To,IDBI Bank,,,Contra,44,4000.00,
03-Jan-20,To,IDBI Bank,,,Contra,45,2500.00,
04-Jan-20,By,Food,,,Payment,822,,50.00
04-Jan-20,By,Home Cash Paid,,,Payment,824,,6100.00
04-Jan-20,By,Movie,,,Payment,825,,112.00
05-Jan-20,By,Home Medicines,,,Payment,826,,450.00
05-Jan-20,By,Party With Friends,,,Payment,827,,80.00
05-Jan-20,By,Food,,,Payment,828,,40.00
05-Jan-20,By,Misc. Expenses,,,Payment,829,,58.00
05-Jan-20,By,Holiday Expenses,,,Payment,830,,110.00
07-Jan-20,To,IDBI Bank,,,Contra,46,5000.00,
07-Jan-20,By,Mandal Date CA Group 15,,,Payment,836,,2000.00
07-Jan-20,By,Nitesh Italiya,,,Payment,837,,2000.00
07-Jan-20,To,Bharat Bank,,,Contra,47,100.00,
08-Jan-20,By,Food,,,Payment,838,,70.00
10-Jan-20,By,Party With Friends,,,Payment,840,,40.00
10-Jan-20,To,Nitesh Italiya,,,Receipt,225,2000.00,
11-Jan-20,By,Home Cash Paid,,,Payment,843,,1500.00
11-Jan-20,By,Merriage Chandlo Shrimant,,,Payment,844,,250.00
12-Jan-20,By,Merriage Chandlo Shrimant,,,Payment,845,,150.00
12-Jan-20,By,Party With Friends,,,Payment,846,,100.00
12-Jan-20,By,Misc. Expenses,,,Payment,847,,60.00
12-Jan-20,To,Misc. Expenses,,,Receipt,227,55.00,
13-Jan-20,To,Ankit Sorathiya,,,Receipt,228,945.00,
14-Jan-20,By,Food,,,Payment,852,,60.00
18-Jan-20,By,Party With Friends,,,Payment,858,,120.00
18-Jan-20,By,Misc. Expenses,,,Payment,861,,140.00
19-Jan-20,By,Home Perquisites,,,Payment,862,,500.00
19-Jan-20,By,Home Perquisites,,,Payment,863,,140.00
19-Jan-20,By,Kishan Bhanderi,,,Payment,864,,150.00
23-Jan-20,To,Ankit Sorathiya,,,Receipt,236,500.00,
23-Jan-20,By,Food,,,Payment,867,,50.00
24-Jan-20,By,Party With Friends,,,Payment,870,,50.00
24-Jan-20,By,Home Perquisites,,,Payment,871,,50.00
24-Jan-20,By,Home Cash Paid,,,Payment,872,,200.00
24-Jan-20,By,Food,,,Payment,873,,40.00
25-Jan-20,To,IDBI Bank,,,Contra,48,3000.00,
25-Jan-20,By,Home Cash Paid,,,Payment,874,,1500.00
25-Jan-20,By,Home Cash Paid,,,Payment,875,,20.00
26-Jan-20,By,Home Cash Paid,,,Payment,877,,1300.00
26-Jan-20,To,Bharat Bank,,,Contra,49,100.00,
26-Jan-20,By,Food,,,Payment,878,,20.00
27-Jan-20,To,Rojmel,,,Receipt,239,505.00,
27-Jan-20,To,Upad,,,Receipt,241,4900.00,
27-Jan-20,By,Misc. Expenses,,,Payment,882,,10.00
27-Jan-20,By,Misc. Expenses,,,Payment,883,,150.00
27-Jan-20,By,Food,,,Payment,884,,10.00
27-Jan-20,By,Food,,,Payment,885,,20.00
29-Jan-20,By,Food,,,Payment,886,,40.00
29-Jan-20,By,Home Perquisites,,,Payment,887,,325.00
30-Jan-20,By,Alpesh Vithhani,,,Payment,890,,5000.00
01-Feb-20,To,Office Income,,,Receipt,248,3000.00,
01-Feb-20,By,Food,,,Payment,893,,30.00
01-Feb-20,To,Upad,,,Receipt,249,1000.00,
01-Feb-20,To,Bhavesh Nakrani,,,Receipt,250,10.00,
01-Feb-20,By,Home Cash Paid,,,Payment,895,,2360.00
01-Feb-20,By,Mandal Date Advocate Group 02,,,Payment,896,,1000.00
01-Feb-20,By,Merriage Chandlo Shrimant,,,Payment,897,,100.00
01-Feb-20,By,Misc. Expenses,,,Payment,898,,70.00
02-Feb-20,By,Home Cash Paid,,,Payment,900,,500.00
02-Feb-20,By,Interest,,,Payment,901,,500.00
02-Feb-20,By,Party With Friends,,,Payment,902,,140.00
02-Feb-20,By,Misc. Expenses,,,Payment,903,,60.00
03-Feb-20,To,DBS Bank,,,Contra,50,5000.00,
03-Feb-20,By,Home Cash Paid,,,Payment,905,,1650.00
04-Feb-20,By,Home Perquisites,,,Payment,906,,50.00
04-Feb-20,By,Misc. Expenses,,,Payment,907,,30.00
04-Feb-20,By,Office Income,,,Payment,908,,1000.00
04-Feb-20,By,Home Cash Paid,,,Payment,909,,200.00
05-Feb-20,By,Food,,,Payment,910,,60.00
06-Feb-20,By,Food,,,Payment,911,,100.00
06-Feb-20,By,Food,,,Payment,914,,20.00
08-Feb-20,By,Food,,,Payment,915,,55.00
09-Feb-20,By,Home Cash Paid,,,Payment,916,,200.00
09-Feb-20,By,Home Cash Paid,,,Payment,917,,1000.00
09-Feb-20,By,Home Cash Paid,,,Payment,918,,1000.00
09-Feb-20,By,Food,,,Payment,919,,55.00
11-Feb-20,By,Food,,,Payment,922,,30.00
11-Feb-20,By,Misc. Expenses,,,Payment,923,,20.00
12-Feb-20,To,IDBI Bank,,,Contra,51,3500.00,
12-Feb-20,By,Mandal Date CA Group 15,,,Payment,925,,2000.00
12-Feb-20,By,Home Cash Paid,,,Payment,926,,500.00
12-Feb-20,By,Food,,,Payment,927,,180.00
14-Feb-20,By,Home Medicines,,,Payment,929,,270.00
15-Feb-20,To,Upad,,,Receipt,256,1600.00,
18-Feb-20,To,Ankit Sorathiya,,,Receipt,258,3000.00,
20-Feb-20,To,Catalog Villa,,,Receipt,260,9160.00,
25-Feb-20,By,Food,,,Payment,941,,225.00
25-Feb-20,By,Holiday Expenses,,,Payment,942,,120.00
25-Feb-20,By,Home Cash Paid,,,Payment,943,,6000.00
25-Feb-20,By,Home Perquisites,,,Payment,944,,150.00
25-Feb-20,By,Jackey,,,Payment,945,,501.00
25-Feb-20,By,Merriage Chandlo Shrimant,,,Payment,946,,300.00
25-Feb-20,By,Party With Friends,,,Payment,947,,440.00
25-Feb-20,By,Tour Traveling Expenses,,,Payment,948,,65.00
25-Feb-20,To,Vgf,,,Receipt,262,1770.00,
26-Feb-20,By,Chirag,,,Payment,949,,2060.00
27-Feb-20,By,Party With Friends,,,Payment,951,,60.00
29-Feb-20,By,Food,,,Payment,955,,105.00
29-Feb-20,By,Party With Friends,,,Payment,956,,265.00
29-Feb-20,By,Misc. Expenses,,,Payment,957,,300.00
29-Feb-20,By,Home Perquisites,,,Payment,958,,180.00
29-Feb-20,By,Home Cash Paid,,,Payment,959,,500.00
29-Feb-20,To,Ankit Sorathiya,,,Receipt,267,3300.00,
03-Mar-20,By,Bike Service,,,Payment,961,,600.00
05-Mar-20,To,Jackey,,,Receipt,269,1260.00,
11-Mar-20,To,Taral,,,Receipt,272,1700.00,
11-Mar-20,By,Food,,,Payment,973,,40.00
11-Mar-20,By,Home Cash Paid,,,Payment,974,,500.00
11-Mar-20,By,Food,,,Payment,975,,60.00
11-Mar-20,By,Hair Cut,,,Payment,976,,100.00
11-Mar-20,By,Misc. Expenses,,,Payment,977,,40.00
11-Mar-20,By,Home Cash Paid,,,Payment,978,,100.00
11-Mar-20,By,Misc. Expenses,,,Payment,979,,60.00
11-Mar-20,To,Piyush Vaghasiya,,,Receipt,273,1500.00,
11-Mar-20,To,Bhaveshbhai 45,,,Receipt,274,1000.00,
11-Mar-20,To,Nikhil Sabhadiya,,,Receipt,275,400.00,
11-Mar-20,By,Home Cash Paid,,,Payment,980,,1000.00
11-Mar-20,To,Upad,,,Receipt,276,8000.00,
18-Mar-20,By,Home Medicines,,,Payment,986,,300.00
18-Mar-20,By,Home Cash Paid,,,Payment,987,,4110.00
18-Mar-20,By,Home Cash Paid,,,Payment,988,,2500.00
18-Mar-20,By,Boot Polish,,,Payment,989,,20.00
18-Mar-20,By,Food,,,Payment,990,,15.00
18-Mar-20,By,Mandal Date CA Group 15,,,Payment,991,,2000.00
18-Mar-20,To,Rojmel,,,Receipt,279,100.00,
18-Mar-20,By,Food,,,Payment,992,,160.00
18-Mar-20,By,Cloths,,,Payment,993,,3700.00
18-Mar-20,By,Home Medicines,,,Payment,994,,450.00
18-Mar-20,By,Food,,,Payment,995,,55.00
18-Mar-20,By,Merriage Chandlo Shrimant,,,Payment,996,,200.00
18-Mar-20,To,Bhavesh Sabhadiya,,,Receipt,280,2000.00,
18-Mar-20,By,Chirag,,,Payment,997,,500.00
18-Mar-20,By,Kishan Bhanderi,,,Payment,998,,500.00
18-Mar-20,By,Mobile Acceseris,,,Payment,999,,300.00
18-Mar-20,By,Home Cash Paid,,,Payment,1000,,850.00
18-Mar-20,By,Rojmel,,,Payment,1001,,100.00
18-Mar-20,By,Misc. Expenses,,,Payment,1002,,90.00
21-Mar-20,By,Food,,,Payment,1004,,50.00
21-Mar-20,By,Ankit Sorathiya,,,Payment,1005,,2000.00
21-Mar-20,By,Food,,,Payment,1006,,20.00
21-Mar-20,By,Taral,,,Payment,1007,,1700.00
21-Mar-20,By,Home Cash Paid,,,Payment,1008,,1000.00
21-Mar-20,By,Misc. Expenses,,,Payment,1009,,30.00
21-Mar-20,To,Upad,,,Receipt,286,2000.00,
31-Mar-20,To,Ankit Sorathiya,,,Receipt,290,15000.00,
31-Mar-20,By,Home Perquisites,,,Payment,1012,,490.00
31-Mar-20,By,Home Cash Paid,,,Payment,1013,,200.00
31-Mar-20,By,Home Cash Paid,,,Payment,1014,,700.00
31-Mar-20,By,Home Cash Paid,,,Payment,1015,,200.00
31-Mar-20,By,Home Cash Paid,,,Payment,1016,,730.00
31-Mar-20,By,Home Cash Paid,,,Payment,1017,,250.00
31-Mar-20,By,Home Cash Paid,,,Payment,1018,,290.00
03-Apr-20,By,Piyush Vaghasiya,,,Payment,1,,182.00
10-Apr-20,By,Kalpesh Shiyani,,,Payment,3,,300.00
18-Apr-20,By,Home Cash Paid,,,Payment,5,,1568.00
22-Apr-20,By,Kalpesh Shiyani,,,Payment,6,,50.00
28-Apr-20,To,Piyush Vaghasiya,,,Receipt,4,1110.00,
28-Apr-20,By,Home Cash Paid,,,Payment,11,,180.00
28-Apr-20,By,Home Cash Paid,,,Payment,12,,200.00
01-May-20,To,(as per details),,,Receipt,6,2280.00,
,,Kamlesh Vekariya,,,,,,1050.00 Cr
,,Nilesh Gajera,,,,,,1230.00 Cr
